,ddpg,rip,ospf,random
0,0.02269387755102038,0.053714285714285714,0.0700204081632653,0.06655102040816326
1,0.022163265306122434,0.017755102040816338,0.016734693877551027,0.0371020408163265
2,0.018040816326530606,0.02628571428571428,0.021244897959183683,0.022775510204081625
3,0.01842857142857143,0.018346938775510215,0.016387755102040828,0.03006122448979592
4,0.015693877551020415,0.01726530612244899,0.017857142857142867,0.03806122448979592
5,0.01326530612244899,0.017857142857142867,0.024326530612244896,0.016387755102040824
6,0.016530612244897967,0.0169795918367347,0.01851020408163266,0.03412244897959184
7,0.013571428571428581,0.018673469387755107,0.02140816326530613,0.030999999999999993
8,0.01589795918367348,0.018326530612244905,0.01589795918367348,0.027938775510204072
9,0.01253061224489797,0.015755102040816336,0.018285714285714294,0.022999999999999996
10,0.014571428571428582,0.01932653061224491,0.01846938775510205,0.023632653061224494
11,0.016897959183673476,0.01534693877551021,0.019714285714285726,0.0196326530612245
12,0.01538775510204082,0.0176326530612245,0.0173061224489796,0.028428571428571425
13,0.0163061224489796,0.017653061224489806,0.01710204081632654,0.021571428571428585
14,0.018061224489795923,0.017530612244897967,0.018346938775510215,0.018571428571428582
15,0.0236938775510204,0.018489795918367354,0.020020408163265318,0.02420408163265306
16,0.01910204081632653,0.016877551020408173,0.01957142857142858,0.022795918367346932
17,0.015142857142857152,0.017734693877551028,0.018285714285714294,0.028999999999999998
18,0.018244897959183676,0.016693877551020416,0.016795918367346948,0.020020408163265318
19,0.030142857142857134,0.020510204081632663,0.02716326530612244,0.02159183673469388
20,0.015306122448979602,0.017387755102040825,0.019142857142857152,0.0173061224489796
21,0.014857142857142867,0.016979591836734705,0.017326530612244907,0.02018367346938776
22,0.025020408163265298,0.01879591836734695,0.0216326530612245,0.020265306122448992
23,0.017020408163265312,0.018163265306122462,0.020081632653061232,0.0246734693877551
24,0.0133061224489796,0.01671428571428572,0.019020408163265314,0.030489795918367334
25,0.016653061224489802,0.01767346938775511,0.01883673469387756,0.018183673469387762
26,0.02557142857142857,0.02089795918367348,0.01932653061224491,0.021306122448979597
27,0.013693877551020417,0.019714285714285726,0.02040816326530613,0.030387755102040823
28,0.01716326530612245,0.019408163265306134,0.02263265306122449,0.019428571428571437
29,0.01648979591836735,0.015448979591836744,0.01993877551020409,0.02208163265306123
30,0.01585714285714287,0.019040816326530624,0.01967346938775511,0.020530612244897967
31,0.014897959183673478,0.015408163265306129,0.020183673469387767,0.025346938775510208
32,0.018102040816326537,0.01640816326530613,0.016897959183673476,0.025428571428571425
