,ddpg,rip,ospf,random
144,0.7009690000000001,0.700686,0.501376,0.700562
145,1.100619,0.601122,0.900634,0.70173
146,0.401776,0.600521,0.601655,0.601963
147,0.600393,0.800889,0.701408,1.201835
148,1.001037,0.700777,0.600468,0.800592
149,0.70103,0.600578,0.501506,0.701063
150,0.601476,0.801061,0.602206,0.600653
151,0.9014030000000001,0.700877,0.601599,0.900757
152,0.703828,0.700992,0.80165,0.601627
153,0.800755,0.700641,0.700513,0.602427
154,0.600463,0.800411,0.701155,1.002475
155,0.601216,0.801378,0.800824,0.700445
156,0.801493,0.801517,0.901104,0.701897
157,0.8004290000000001,0.801849,1.300882,0.901616
158,0.700762,0.60048,0.701094,0.701017
159,0.734668,0.800787,0.70067,0.902262
160,0.600381,0.601369,0.700755,0.800437
161,1.1006639999999999,0.800822,0.801611,0.701523
162,0.60106,0.800735,0.600715,0.501755
163,0.700899,0.8008580000000001,0.801422,0.900538
164,0.50144,0.801497,0.801787,0.700561
165,0.501315,0.80118,0.600858,0.901913
166,0.700907,0.80116,0.701373,0.700997
167,0.700825,0.70106,0.701145,0.600606
168,0.601208,0.80061,0.700724,0.801334
169,0.701679,0.80081,0.700418,0.601731
170,0.701103,0.501964,1.101286,0.600819
171,0.700969,0.8010860000000001,0.901525,0.702095
172,0.700499,0.901182,1.0014,1.200952
173,0.801269,0.800895,0.901678,0.901014
174,0.700818,0.801386,0.700349,0.701681
175,0.701276,0.801512,0.701245,0.700602
176,0.700456,0.701093,0.501478,0.801726
177,0.700361,0.801806,0.700534,0.700826
178,0.600689,0.701104,0.70113,0.701066
179,0.601537,0.7011,0.903554,0.901185
180,0.500775,0.8008730000000001,1.301072,0.901325
181,0.601008,0.80096,0.900714,0.800933
182,0.802004,0.701341,1.000724,0.801029
183,0.700634,0.801158,0.701105,1.000559
184,0.901171,0.90118,1.004113,0.802522
185,0.900869,0.800975,0.901261,0.701108
186,1.300752,0.8009200000000001,1.201242,1.000694
187,0.900527,0.802069,0.801143,0.900662
188,0.700899,0.700638,1.101494,0.802594
189,1.100496,0.600496,0.700568,0.701736
190,0.7015,0.800938,0.701309,0.700624
191,0.801033,1.401274,0.701004,0.800684
192,0.901623,0.80034,0.701319,0.801017
193,0.701619,0.801215,0.601276,0.900942
194,0.9006870000000001,0.901226,1.000393,0.900657
195,0.701025,0.802343,0.901605,0.600509
196,0.80034,0.600825,0.700514,0.60122
197,0.700592,0.700645,0.700812,0.80172
198,0.601135,0.701149,1.001597,0.901494
199,0.701123,0.701734,0.700331,1.000885
200,0.701468,0.70125,0.901632,0.60091
201,1.002243,0.901534,0.601037,1.100922
202,0.702332,0.800716,0.800681,0.701279
203,0.801616,0.802617,0.602892,0.800663
204,0.800852,1.0015969999999998,0.800939,1.000942
205,0.7005290000000001,0.80099,0.701471,0.700463
206,0.601211,0.901166,0.800399,0.702784
207,1.000465,0.801675,1.201209,1.001227
208,0.701586,0.701792,1.900692,0.70166
209,0.701106,0.9007680000000001,0.900594,0.800777
210,0.701284,0.700892,1.601377,0.700286
211,0.7006760000000001,1.000913,1.000653,1.001775
212,0.700723,1.0010729999999999,1.001094,0.801264
213,1.101489,0.801189,1.001582,0.900726
214,0.701542,1.1017789999999998,0.801109,1.002282
215,0.800838,1.000538,0.800979,1.202752
216,0.700825,0.800687,0.701003,1.601067
217,0.7020580000000001,0.60133,1.000965,0.70145
218,1.1011419999999998,0.800843,0.701183,1.000627
219,0.700503,0.802022,0.702042,0.70046
220,1.0004549999999999,0.80069,1.00105,1.200692
